rid,tract
W1M1_01000002,11001007200
W1M1_01000009,11001001001
W1M1_01000012,11001004100
W1M1_01000013,11001006900
W1M1_01000016,11001003900
W1M1_01000019,11001001302
W1M1_01000021,11001008302
W1M1_01000024,11001000501
W1M1_01000028,11001007200
W1M1_01000033,11001006600
W1M1_01000037,11001008001
W1M1_01000039,11001003900
W1M1_01000055,11001000502
W1M1_01000066,11001000902
W1M1_01000072,11001004202
W1M1_01000082,11001000801
W1M1_01000083,11001006700
W1M1_01000086,11001001200
W1M1_01000091,11001000600
W1M1_01000095,11001001200
W1M1_01000099,11001002701
W1M1_01000100,11001004201
W1M1_01000107,11001000701
W1M1_01000111,11001001402
W1M1_01000127,11001004902
W1M1_01000128,11001008302
W1M1_01000135,11001003800
W1M1_01000140,11001009201
W1M1_01000142,11001008002
W1M1_01000143,11001001001
W1M1_01000146,11001005301
W1M1_01000148,11001000701
W1M1_01000149,11001002701
W1M1_01000150,11001001301
W1M1_01000153,11001008002
W1M1_01000172,11001006600
W1M1_01000176,11001007100
W1M1_01000178,11001001401
W1M1_01000180,11001005002
W1M1_01000192,11001005301
W1M1_01000201,11001001200
W1M1_01000202,11001000100
W1M1_01000207,11001002702
W1M1_01000208,11001010100
W1M1_01000211,11001007100
W1M1_01000212,11001001302
W1M1_01000213,11001001100
W1M1_01000216,11001004300
W1M1_01000218,11001006700
W1M1_01000219,11001004201
W1M1_01000223,11001001001
W1M1_01000236,11001010800
W1M1_01000237,11001010100
W1M1_01000239,11001001500
W1M1_01000242,11001001302
W1M1_01000245,11001008001
W1M1_01000256,11001001002
W1M1_01000258,11001010200
W1M1_01000266,11001001200
W1M1_01000267,11001006802
W1M1_01000271,11001004400
W1M1_01000279,11001001401
W1M1_01000289,11001005500
W1M1_01000294,11001007200
W1M1_01000301,11001010600
W1M1_01000307,11001001702
W1M1_01000310,11001001002
W1M1_01000312,11001003900
W1M1_01000313,11001001301
W1M1_01000315,11001010600
W1M1_01000321,11001004002
W1M1_01000324,11001007000
W1M1_01000328,11001000300
W1M1_01000344,11001007100
W1M1_01000351,11001000702
W1M1_02000014,11001002400
W1M1_02000020,11001003100
W1M1_02000035,11001003800
W1M1_02000042,11001002801
W1M1_02000053,11001002502
W1M1_02000057,11001002001
W1M1_02000062,11001009501
W1M1_02000078,11001002802
W1M1_02000080,11001002201
W1M1_02000088,11001002502
W1M1_02000089,11001010300
W1M1_02000091,11001002701
W1M1_02000092,11001002102
W1M1_02000093,11001002102
W1M1_02000098,11001009501
W1M1_02000119,11001003700
W1M1_02000143,11001003600
W1M1_02000167,11001002501
W1M1_02000168,11001002202
W1M1_02000175,11001002502
W1M1_02000187,11001003800
W1M1_02000188,11001002801
W1M1_02000212,11001001804
W1M1_02000213,11001003600
W1M1_02000217,11001001804
W1M1_02000220,11001002801
W1M1_02000224,11001001901
W1M1_02000227,11001005002
W1M1_02000230,11001002701
W1M1_02000248,11001001803
W1M1_02000254,11001002101
W1M1_02000255,11001002900
W1M1_02000262,11001002101
W1M1_02000269,11001002701
W1M1_02000277,11001002900
W1M1_02000279,11001010300
W1M1_02000287,11001010300
W1M1_02000299,11001002400
W1M1_02000302,11001002702
W1M1_02000310,11001010300
W1M1_02000311,11001003800
W1M1_02000327,11001010300
W1M1_02000336,11001001901
W1M1_02000337,11001003700
W1M1_02000338,11001002802
W1M1_02000345,11001002102
W1M1_02000351,11001002101
W1M1_02000357,11001003800
W1M1_02000373,11001002102
W1M1_02000387,11001002802
W1M1_02000388,11001010300
W1M1_02000412,11001002502
W1M1_02000414,11001002002
W1M1_02000416,11001001804
W1M1_02000418,11001003800
W1M1_02000423,11001003500
W1M1_02000424,11001002101
W1M1_02000427,11001003100
W1M1_02000438,11001003800
W1M1_02000439,11001003700
W1M1_02000457,11001002900
W1M1_02000458,11001002202
W1M1_02000469,11001003700
W1M1_02000475,11001002802
W1M1_02000483,11001005002
W1M1_03000014,11001001902
W1M1_03000032,11001011100
W1M1_03000057,11001009902
W1M1_03000060,11001009203
W1M1_03000072,11001001600
W1M1_03000096,11001009804
W1M1_03000101,11001008804
W1M1_03000102,11001009509
W1M1_03000104,11001009802
W1M1_03000109,11001007709
W1M1_03000113,11001011100
W1M1_03000122,11001008702
W1M1_03000126,11001010500
W1M1_03000127,11001007806
W1M1_03000132,11001007401
W1M1_03000136,11001008802
W1M1_03000137,11001007503
W1M1_03000154,11001008804
W1M1_03000158,11001007409
W1M1_03000170,11001009400
W1M1_03000183,11001001600
W1M1_03000197,11001009302
W1M1_03000209,11001010600
W1M1_03000215,11001007100
W1M1_03000220,11001006400
W1M1_03000221,11001008804
W1M1_03000238,11001009508
W1M1_03000244,11001002102
W1M1_03000250,11001007708
W1M1_03000262,11001009901
W1M1_03000271,11001009901
W1M1_03000276,11001009508
W1M1_03000285,11001002002
W1M1_03000295,11001007703
W1M1_03000300,11001006801
W1M1_03000302,11001009509
W1M1_03000305,11001009604
W1M1_03000319,11001009901
W1M1_03000321,11001007806
W1M1_03000330,11001009302
W1M1_03000338,11001007409
W1M1_03000344,11001009508
W1M1_03000345,11001009601
W1M1_03000346,11001007809
W1M1_03000347,11001010500
W1M1_03000350,11001009700
W1M1_03000356,11001009503
W1M1_03000360,11001009508
W1M1_03000363,11001010300
W1M1_03000376,11001009603
W1M1_03000385,11001007707
W1M1_03000399,11001007901
W1M1_03000408,11001011000
W1M1_03000411,11001007502
W1M1_03000420,11001009810
W1M1_03000421,11001003301
W1M1_03000423,11001009807
W1M1_03000428,11001009509
W1M1_03000430,11001009700
W1M1_03000436,11001009801
W1M1_03000437,11001002301
W1M1_03000440,11001007708
W1M1_03000447,11001009400
W1M1_03000459,11001007707
W1M1_03000464,11001009906
W1M1_03000465,11001004600
W1M1_03000466,11001009509
W1M1_03000510,11001007708
W1M1_03000522,11001006400
W1M1_03000523,11001007605
W1M1_03000525,11001009810
W1M1_03000542,11001001803
W1M1_03000543,11001009301
W1M1_03000545,11001011000
W1M1_03000556,11001007601
W1M1_03000561,11001002600
W1M1_03000562,11001007604
W1M1_03000574,11001009504
W1M1_03000581,11001009811
W1M1_03000584,11001008702
W1M1_03000595,11001008804
W1M1_03000606,11001006400
W1M1_03000609,11001002102
W1M1_03000620,11001007406
W1M1_03000625,11001008904
W1M1_03000636,11001009000
W1M1_03000644,11001009604
W1M1_03000647,11001001702
W1M1_03000649,11001003301
W1M1_03000660,11001008802
W1M1_03000662,11001002400
W1M1_03000667,11001010400
W1M1_03000674,11001006801
W1M1_03000684,11001010500
W1M1_03000695,11001009603
W1M1_03000701,11001009902
W1M1_03000723,11001009801
